2001;CAPADR ;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural
2003;CCJC ;Comissão de Constituição e Justiça e de Cidadania
2002;CCTCI ;Comissão de Ciência e Tecnologia, Comunicação e Informática
536996;CCULT ;Comissão de Cultura
2004;CDC ;Comissão de Defesa do Consumidor
2008;CDEIC ;Comissão de Desenvolvimento Econômico, Indústria e Comércio
2007;CDHM ;Comissão de Direitos Humanos e Minorias
2006;CDU ;Comissão de Desenvolvimento Urbano
2009;CE ;Comissão de Educação
536970;CEAEREO ;Comissão Especial destinada a debater a questão da atividade de transporte aéreo de passageiros, em especial ao preço das passagens, atraso nos voos e tratamento dispensado aos clientes, seja nos balcões das companhias, nos aeroportos e nas aeronaves
9029;CEAGRIRU ;Comissão Especial destinada a efetuar estudos e apresentar propostas com relação ao Projeto de Lei nº 4378, de 1998, do Sr. Milton Mendes, que "regula as relações jurídicas entre a agroindústria e o produtor rural integrado e dá outras providências"
8917;CEANISTI ;Comissão Especial destinada a acompanhar a aplicação das seguintes Leis de Anistia: Lei nº 8878/1994, que "dispõe sobre a concessão de anistia"; Lei nº 10.790/2003, que "concede anistia a dirigentes ou representantes sindicais e trabalhadores punidos por participação em movimento reivindicatório"; Lei nº 11.282/2006, que "anistia os trabalhadores da Empresa Brasileira de Correios e Telégrafos-ECT punidos em razão da participação em movimento grevista"; e Lei nº 10.559/2002, que "regulamenta o artigo 8º do Ato das Disposições Constitucionais Transitórias e dá outras providências"
536968;CECODFL ;Comissão Especial destinada a acompanhar a implantação nos Estados da Lei 12.651/2012 que institui o novo Código Florestal Brasileiro
6925;CECONST ;Comissão Especial para analisar todos os artigos ainda não regulamentados da Constituição Federal de 1988.
6910;CEDOCSIG ;Comissão Especial destinada a apreciar as solicitações de acesso a informações sigilosas produzidas ou recebidas pela Câmara dos Deputados no exercício de suas funções parlamentares e administrativas, assim como sobre o cancelamento ou redução de prazos de sigilo e outras atribuições previstas na Resolução n º 29, de 1993
9157;CEENSI ;Comissão Especial destinada a promover estudos e proposições para a reformulação do ensino médio.
9155;CEESTA ;Comissão Especial destinada a efetuar estudos, levantar as proposições em tramitação e apresentar propostas em relação à temática envolvendo o aprimoramento do Estado, das Instituições e da Democracia brasileira
536977;CEFATOR ;Comissão Especial destinada a efetuar estudo e apresentar propostas em relação ao Fator Previdenciário.
536982;CEMOTOR ;Comissão Especial destinada a debater e propor modificações à Lei 12.619, de 30 de abril de 2012, que regulamenta a Profissão de Motorista
537015;CEPENAL ;Comissão Especial destinada a efetuar estudo e apresentar propostas em relação à Reforma do Código Penal
6912;CEREFPOL ;Comissão Especial destinada a efetuar estudo e apresentar propostas em relação à Reforma Política.
537173;CERESOLI ;Comissão Especial destinada a analisar proposições que visam alterar a Lei nº 12.305, de 02/08/2010, que instituiu a Política Nacional de Resíduos Sólidos, e outros projetos de lei correlatos.
9100;CESAUDE ;Comissão Especial destinada a discutir o Financiamento da Saúde Pública.
8951;CESEGUR ;Comissão Especial destinada a analisar as Propostas de Emenda à Constituição que versem sobre Segurança Pública.
9119;CETITULO ;Comissão Especial destinada a, no prazo máximo de 90 (noventa) dias, analisar todo o processo de troca de títulos securitizados que garantiam a complementação das pensões e aposentadorias dos funcionários do Banespa/Santander
2011;CFFC ;Comissão de Fiscalização Financeira e Controle
2010;CFT ;Comissão de Finanças e Tributação
2017;CINDRA ;Comissão de Integração Nacional, Desenvolvimento Regional e da Amazônia
5438;CLP ;Comissão de Legislação Participativa
6174;CMADS ;Comissão de Meio Ambiente e Desenvolvimento Sustentável
2012;CME ;Comissão de Minas e Energia
6722;CMMC ;Comissão Mista Permanente sobre Mudanças Climáticas - CMMC
6855;CMO ;Comissão Mista de Planos, Orçamentos Públicos e Fiscalização
9140;CPICRIAN ;Comissão Parlamentar de Inquérito destinada a apurar denúncias de turismo sexual e exploração sexual de crianças e adolescentes, conforme diversas matérias publicadas pela imprensa.
537126;CPIECAD ;Comissão Parlamentar de Inquérito destinada a investigar e apurar o atual sistema de arrecadação e distribuição de direitos autorais - ECAD
537127;CPITRAB ;Comissão Parlamentar de Inquérito destinada a apurar a exploração do trabalho infantil no Brasil e dá outras providências
