2001;CAPADR ;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural
8653;PEC45301 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 453-A de 2001, do Sr. Raimundo Gomes de Matos, que "dá nova redação ao caput do art. 38 da Constituição Federal" (propondo a volta à redação originária do artigo 38 da Constituição, aplicando ao servidor da administração indireta as normas para exercício de mandato eletivo)
537124;PL192703 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1.927, de 2003, do Sr. Fernando de Fabinho, que "acrescenta dispositivo à Lei nº 10.336, de 19 de dezembro de 2001, para isentar as empresas de transporte coletivo urbano municipal e Transporte Coletivo Urbano Alternativo da Contribuição de Intervenção no Domínio Econômico - CIDE"
9111;PL533509 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 5335, de 2009, do Senado Federal, que "altera as Leis nº 9.074, de 7 de julho de 1995, 9.433, de 8 de janeiro de 1997, 9.984, de 17 de julho de 2000, e 10.233, de 5 de junho de 2001, para tratar dos dispositivos de transposição hidroviária de níveis"
2003;CCJC ;Comissão de Constituição e Justiça e de Cidadania
8917;CEANISTI ;Comissão Especial destinada a acompanhar a aplicação das seguintes Leis de Anistia: Lei nº 8878/1994, que "dispõe sobre a concessão de anistia"; Lei nº 10.790/2003, que "concede anistia a dirigentes ou representantes sindicais e trabalhadores punidos por participação em movimento reivindicatório"; Lei nº 11.282/2006, que "anistia os trabalhadores da Empresa Brasileira de Correios e Telégrafos-ECT punidos em razão da participação em movimento grevista"; e Lei nº 10.559/2002, que "regulamenta o artigo 8º do Ato das Disposições Constitucionais Transitórias e dá outras providências"
9137;CPITRAPE ;Comissão Parlamentar de Inquérito destinada a investigar o tráfico de pessoas no Brasil, suas causas, consequências e responsáveis no período de 2003 a 2011, compreendido na vigência da Convenção de Palermo.
9064;PEC05103 ;Comissão Especial destinada a apreciar e proferir parecer à Proposta de Emenda à Constituição nº 51-A, de 2003, do Sr. Bismark Maia, que "dá nova redação aos artigos 28, caput, 29, III, 57, caput e § 4º, e 82 da Constituição Federal, alterando a data da posse do Presidente da República, Governadores, Prefeitos, Senadores e Deputados Federais"
537124;PL192703 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 1.927, de 2003, do Sr. Fernando de Fabinho, que "acrescenta dispositivo à Lei nº 10.336, de 19 de dezembro de 2001, para isentar as empresas de transporte coletivo urbano municipal e Transporte Coletivo Urbano Alternativo da Contribuição de Intervenção no Domínio Econômico - CIDE"
8530;PL722306 ;Comissão Especial destinada a profetir parecer ao Projeto de Lei nº 7.223, de 2006, do Senado Federal, que "altera a Lei nº 7.210, de 11 de julho de 1984, Lei de Execução Penal, e a Lei nº 10.792, de 1º de dezembro de 2003, para criar o regime penitenciário de segurança máxima"
536996;CCULT ;Comissão de Cultura
2004;CDC ;Comissão de Defesa do Consumidor
